codigo,unidade_sanitaria,tipo,tipo_de_us,nivel,classificacao,maternidade_sn,latitude,longitude,provincia,distrito
1021113,CS Mbuo,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.43124,-11.31794,CABO DELGADO,MUEDA
1021108,CS M'peme,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.40546,-11.35379,CABO DELGADO,MUEDA
1021110,CS Namatil,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.47401,-11.11521,CABO DELGADO,MUEDA
1021104,CS Nandimba,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.54367,-11.58779,CABO DELGADO,MUEDA
1021112,CS N'gapa,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,39.31022,-11.30572,CABO DELGADO,MUEDA
1021114,CS Nimo,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,CABO DELGADO,MUEDA
1021106,HR Mueda,HR,Hospital Rural,Nível Secundário,HR - Hospital Rural,SIM,39.554,-11.6633,CABO DELGADO,MUEDA
1021111,PS Negomano,PS,Posto de Saúde,Nível Primário,PS - Posto de Saúde,SIM,38.48957,-11.42538,CABO DELGADO,MUEDA
1021207,CS Chitunda,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.98533,-11.70527,CABO DELGADO,MUIDUMBE
1021212,CS Miangalewa,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.0743,-11.82807,CABO DELGADO,MUIDUMBE
1021209,CS Miteda,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.7355,-11.76142,CABO DELGADO,MUIDUMBE
1021206,CS Muambula,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.81231,-11.8235,CABO DELGADO,MUIDUMBE
1021208,CS Muatide,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,39.80524,-11.75998,CABO DELGADO,MUIDUMBE
1021211,CS Namacande,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.90062,-11.77938,CABO DELGADO,MUIDUMBE
1021213,CS Ntchinga,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.89058,-11.73421,CABO DELGADO,MUIDUMBE
1021305,CS Chimuili,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,,,,CABO DELGADO,NAMUMO
1021307,CS Hucula,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.13251,-13.83345,CABO DELGADO,NAMUMO
1021308,CS Machoca,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,38.80681,-13.96622,CABO DELGADO,NAMUMO
1021309,CS Meloco,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.17403,-13.47448,CABO DELGADO,NAMUMO
1021314,CS Namacaca,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,38.53516,-14.04216,CABO DELGADO,NAMUMO
1021310,CS Namrapa (EP2),CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,38.77519,-13.68804,CABO DELGADO,NAMUMO
1021306,CS Namuno,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,38.81569,-13.61844,CABO DELGADO,NAMUMO
1021311,CS Ncumpe,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,38.60064,-13.70929,CABO DELGADO,NAMUMO
1021313,CS Nicuita,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,38.88114,-13.46583,CABO DELGADO,NAMUMO
1021312,CS Papai,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,38.67719,-14.0362,CABO DELGADO,NAMUMO
1021410,CS Muhia,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.57457,-11.02682,CABO DELGADO,NANGADE
1021406,CS Nangade,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,39.59496,-11.38626,CABO DELGADO,NANGADE
1021409,CS Nkonga,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,CABO DELGADO,NANGADE
1021407,CS N'tamba,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,39.73424,-11.43071,CABO DELGADO,NANGADE
1021408,CS N'toli,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,39.59496,-11.38626,CABO DELGADO,NANGADE
1021509,CS Maganja,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.58585,-10.85337,CABO DELGADO,PALMA
1021507,CS Muite,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.35575,-10.96488,CABO DELGADO,PALMA
1021508,CS Olumbe,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.45951,-10.98821,CABO DELGADO,PALMA
1021506,CS Palma,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 1,SIM,40.47309,-10.78075,CABO DELGADO,PALMA
1021510,CS Pundanhari,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.05736,-10.89075,CABO DELGADO,PALMA
1021511,CS Quionga,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,40.50774,-10.59288,CABO DELGADO,PALMA
1021505,CS Quitunda,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,SIM,,,CABO DELGADO,PALMA
1020114,CS 18 de Outubro,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo C,SIM,,,CABO DELGADO,PEMBA
1020104,CS Arco Iris,CS,Centro de Saúde Rural,Nível Primário,Centro de Saúde Rural Tipo 2,,,,CABO DELGADO,PEMBA
1020106,CS B. Cariocó,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo C,SIM,40.51711,-12.9634,CABO DELGADO,PEMBA
1020109,CS B. Cimento,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo C,NÃO,40.49345,-12.96325,CABO DELGADO,PEMBA
1020107,CS B. Ingonane,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo C,SIM,40.50104,-12.95272,CABO DELGADO,PEMBA
1020112,CS B. Muxara,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo C,SIM,40.52497,-13.0599,CABO DELGADO,PEMBA
1020151,CS Chuiba,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo C,SIM,40.5657,-13.02237,CABO DELGADO,PEMBA
1020110,CS Eduardo Mondlane,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo C,SIM,40.54589,-12.98223,CABO DELGADO,PEMBA
1020111,CS Mahate,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo C,SIM,40.52936,-13.0192,CABO DELGADO,PEMBA
1020115,CS Maringanha,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo C,SIM,,,CABO DELGADO,PEMBA
1020108,CS Natite,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo B,SIM,40.50893,-12.96196,CABO DELGADO,PEMBA
1020113,CS Paquite,CS,Centro de Saúde Urbano,Nível Primário,Centro de Saúde Urbano Tipo C,SIM,40.48649,-12.96268,CABO DELGADO,PEMBA
